id	name	population
CHN	China	"8634"
IND	India	"42678"
USA	United States	"17250"
IDN	Indonesia	"1292"
BRA	Brazil	"61283"
PAK	Pakistan	"8516"
BGD	Bangladesh	"4035"
NGA	Nigeria	"17843"
RUS	Russia	"15561"
JPN	Japan	"362"
MEX	Mexico	"24559"
PHL	Philippines	"11385"
VNM	Vietnam	"1358"
ETH	Ethiopia	"7552"
DEU	Germany	"963"
EGY	Egypt	"2207"
TUR	Turkey	"3216"
COD	Congo, Democratic Republic of the	"466"
IRN	Iran	"1936"
THA	Thailand	"2229"
FRA	France	"875"
GBR	United Kingdom	"791"
ITA	Italy	"400"
MMR	Burma	"1198"
ZAF	South Africa	"19016"
KOR	Korea, South	"356"
UKR	Ukraine	"2845"
COL	Colombia	"12402"
SDN	Sudan	"1702"
TZA	Tanzania	"3746"
ARG	Argentina	"2605"
ESP	Spain	"294"
KEN	Kenya	"2363"
POL	Poland	"256"
DZA	Algeria	"542"
CAN	Canada	"611"
UGA	Uganda	"4473"
MAR	Morocco	"431"
PER	Peru	"2435"
IRQ	Iraq	"3339"
SAU	Saudi Arabia	"472"
AFG	Afghanistan	"1948"
NPL	Nepal	"627"
UZB	Uzbekistan	"831"
VEN	Venezuela	"17778"
MYS	Malaysia	"627"
GHA	Ghana	"423"
YEM	Yemen	"1703"
TWN	Taiwan	"192"
PRK	Korea, North	"1110"
SYR	Syria	"463"
ROU	Romania	"247"
MOZ	Mozambique	"849"
AUS	Australia	"227"
LKA	Sri Lanka	"530"
MDG	Madagascar	"1863"
CIV	Cote d'Ivoire	"2688"
CMR	Cameroon	"880"
NLD	Netherlands	"94"
CHL	Chile	"620"
BFA	Burkina Faso	"67"
NER	Niger	"788"
KAZ	Kazakhstan	"853"
MWI	Malawi	"279"
ECU	Ecuador	"959"
KHM	Cambodia	"268"
SEN	Senegal	"1105"
MLI	Mali	"1905"
GTM	Guatemala	"4520"
AGO	Angola	"1217"
ZMB	Zambia	"853"
ZWE	Zimbabwe	"981"
CUB	Cuba	"572"
RWA	Rwanda	"293"
GRC	Greece	"84"
PRT	Portugal	"66"
TUN	Tunisia	"332"
TCD	Chad	"1266"
BEL	Belgium	"220"
GIN	Guinea	"1067"
CZE	Czech Republic	"65"
SOM	Somalia	"599"
BOL	Bolivia	"686"
HUN	Hungary	"202"
BDI	Burundi	"635"
DOM	Dominican Republic	"1616"
BLR	Belarus	"340"
HTI	Haiti	"1033"
SWE	Sweden	"106"
BEN	Benin	"654"
AZE	Azerbaijan	"208"
AUT	Austria	"57"
HND	Honduras	"5150"
CHE	Switzerland	"45"
TJK	Tajikistan	"126"
ISR	Israel	"110"
SRB	Serbia	"123"
BGR	Bulgaria	"81"
HKG	Hong Kong	"28"
LAO	Laos	"467"
LBY	Libya	"156"
JOR	Jordan	"145"
PRY	Paraguay	"617"
TGO	Togo	"668"
PNG	Papua New Guinea	"520"
SLV	El Salvador	"5257"
NIC	Nicaragua	"453"
ERI	Eritrea	"390"
DNK	Denmark	"56"
KGZ	Kyrgyzstan	"267"
SVK	Slovakia	"57"
FIN	Finland	"78"
SLE	Sierra Leone	"124"
ARE	United Arab Emirates	"83"
TKM	Turkmenistan	"203"
CAF	Central African Republic	"913"
SGP	Singapore	"18"
NOR	Norway	"27"
BIH	Bosnia and Herzegovina	"45"
GEO	Georgia	"39"
CRI	Costa Rica	"578"
HRV	Croatia	"44"
MDA	Moldova	"130"
NZL	New Zealand	"45"
IRL	Ireland	"38"
COG	Congo, Republic of the	"466"
LBN	Lebanon	"235"
PRI	Puerto Rico	"679"
LBR	Liberia	"135"
ALB	Albania	"79"
LTU	Lithuania	"153"
URY	Uruguay	"265"
PAN	Panama	"390"
MRT	Mauritania	"416"
MNG	Mongolia	"171"
OMN	Oman	"26"
ARM	Armenia	"87"
JAM	Jamaica	"1354"
KWT	Kuwait	"61"
PSE	West Bank	"0"
LVA	Latvia	"67"
NAM	Namibia	"388"
MKD	Macedonia	"33"
BWA	Botswana	"303"
SVN	Slovenia	"10"
LSO	Lesotho	"897"
GMB	Gambia, The	"181"
KWT	Kosovo	"29"
149	Gaza Strip	"0"
GNB	Guinea-Bissau	"169"
GAB	Gabon	"155"
SWZ	Swaziland	"208"
153	Mauritius	"23"
EST	Estonia	"42"
TTO	Trinidad and Tobago	"420"
TLS	Timor-Leste	"49"
CYP	Cyprus	"13"
FJI	Fiji	"20"
QAT	Qatar	"9"
160	Comoros	"60"
GUY	Guyana	"142"
DJI	Djibouti	"60"
163	Bahrain	"7"
BTN	Bhutan	"9"
MNE	Montenegro	"28"
GNQ	Equatorial Guinea	"27"
SLB	Solomon Islands	"19"
168	Macau	"1"
169	Cape Verde	"62"
LUX	Luxembourg	"4"
ESH	Western Sahara	"0"
SUR	Suriname	"43"
173	Malta	"4"
174	Maldives	"3"
BRN	Brunei	"2"
BLZ	Belize	"138"
BHS	Bahamas, The	"111"
ISL	Iceland	"1"
179	French Polynesia	"1"
180	Barbados	"31"
181	Mayotte	"12"
NCL	New Caledonia	"8"
183	Netherlands Antilles	"94"
VUT	Vanuatu	"6"
185	Samoa	"6"
186	Sao Tome and Principe	"0"
187	Saint Lucia	"34"
188	Tonga	"1"
189	Virgin Islands	"52"
190	Grenada	"11"
191	Micronesia, Federated States of	"0"
192	Aruba	"2"
193	Saint Vincent and the Grenadines	"40"
194	Kiribati	"8"
195	Jersey	"0"
196	Seychelles	"12"
197	Antigua and Barbuda	"10"
198	Andorra	"0"
199	Isle of Man	"0"
DOM	Dominica	"6"
201	Bermuda	"8"
202	American Samoa	"3"
203	Marshall Islands	"0"
204	Guernsey	"0"
GRL	Greenland	"3"
206	Cayman Islands	"5"
207	Saint Kitts and Nevis	"18"
208	Faroe Islands	"0"
209	Northern Mariana Islands	"0"
210	Liechtenstein	"0"
211	San Marino	"0"
212	Monaco	"0"
213	Saint Martin	"0"
214	Gibraltar	"1"
215	British Virgin Islands	"2"
216	Turks and Caicos Islands	"2"
217	Palau	"1"
218	Akrotiri	"0"
219	Dhekelia	"0"
220	Wallis and Futuna	"0"
221	Anguilla	"4"
222	Nauru	"0"
223	Cook Islands	"1"
224	Tuvalu	"2"
225	Saint Helena, Ascension, and Tristan da Cunha	"0"
226	Saint Barthelemy	"0"
227	Saint Pierre and Miquelon	"1"
228	Montserrat	"1"
FLK	Falkland Islands (Islas Malvinas)	"0"
230	Norfolk Island	"0"
231	Svalbard	"0"
232	Christmas Island	"0"
233	Tokelau	"0"
234	Niue	"0"
235	Holy See (Vatican City)	"0"
236	Cocos (Keeling) Islands	"0"
237	Pitcairn Islands	"0"
ATA	Antarctica	"0"
ATF	French Southern and Antarctic Lands	"0"
SDS	South Sudan	"1504"
ABV	Somaliland	"0"
OSA	Kosovo	"29"
